mu_1,sigma_1,mu_2,sigma_2,mu_3,sigma_3,mu_4,sigma_4
7.0,4.9,7.0,3.5,5.0,4.9,5.0,3.5
7.0,5.25,7.0,3.75,5.0,5.25,5.0,3.75
7.0,5.6,7.0,4.0,5.0,5.6,5.0,4.0
7.0,5.95,7.0,4.25,5.0,5.95,5.0,4.25
7.0,6.3,7.0,4.5,5.0,6.3,5.0,4.5
7.0,6.65,7.0,4.75,5.0,6.65,5.0,4.75
7.0,7.0,7.0,5.0,5.0,7.0,5.0,5.0
7.0,7.35,7.0,5.25,5.0,7.35,5.0,5.25
7.0,7.7,7.0,5.5,5.0,7.7,5.0,5.5
7.0,8.05,7.0,5.75,5.0,8.05,5.0,5.75
7.0,8.4,7.0,6.0,5.0,8.4,5.0,6.0
7.0,8.75,7.0,6.25,5.0,8.75,5.0,6.25
7.0,9.1,7.0,6.5,5.0,9.1,5.0,6.5
7.0,9.45,7.0,6.75,5.0,9.45,5.0,6.75
7.0,9.8,7.0,7.0,5.0,9.8,5.0,7.0
7.0,10.15,7.0,7.25,5.0,10.15,5.0,7.25
7.0,10.5,7.0,7.5,5.0,10.5,5.0,7.5
7.0,4.0,7.0,2.5,5.0,4.0,5.0,2.5
7.0,4.4,7.0,2.75,5.0,4.4,5.0,2.75
7.0,4.8,7.0,3.0,5.0,4.8,5.0,3.0
7.0,5.2,7.0,3.25,5.0,5.2,5.0,3.25
7.0,5.6,7.0,3.5,5.0,5.6,5.0,3.5
7.0,6.0,7.0,3.75,5.0,6.0,5.0,3.75
7.0,6.4,7.0,4.0,5.0,6.4,5.0,4.0
7.0,6.8,7.0,4.25,5.0,6.8,5.0,4.25
7.0,7.2,7.0,4.5,5.0,7.2,5.0,4.5
7.0,7.6,7.0,4.75,5.0,7.6,5.0,4.75
7.0,8.0,7.0,5.0,5.0,8.0,5.0,5.0
7.0,8.4,7.0,5.25,5.0,8.4,5.0,5.25
7.0,8.8,7.0,5.5,5.0,8.8,5.0,5.5
7.0,9.2,7.0,5.75,5.0,9.2,5.0,5.75
7.0,9.6,7.0,6.0,5.0,9.6,5.0,6.0
7.0,10.0,7.0,6.25,5.0,10.0,5.0,6.25
7.0,10.4,7.0,6.5,5.0,10.4,5.0,6.5
7.0,10.8,7.0,6.75,5.0,10.8,5.0,6.75
7.0,11.2,7.0,7.0,5.0,11.2,5.0,7.0
7.0,11.6,7.0,7.25,5.0,11.6,5.0,7.25
7.0,12.0,7.0,7.5,5.0,12.0,5.0,7.5
7.0,4.5,7.0,2.5,5.0,4.5,5.0,2.5
7.0,4.95,7.0,2.75,5.0,4.95,5.0,2.75
7.0,5.4,7.0,3.0,5.0,5.4,5.0,3.0
7.0,5.85,7.0,3.25,5.0,5.85,5.0,3.25
7.0,6.3,7.0,3.5,5.0,6.3,5.0,3.5
7.0,6.75,7.0,3.75,5.0,6.75,5.0,3.75
7.0,7.2,7.0,4.0,5.0,7.2,5.0,4.0
7.0,7.65,7.0,4.25,5.0,7.65,5.0,4.25
7.0,8.1,7.0,4.5,5.0,8.1,5.0,4.5
7.0,8.55,7.0,4.75,5.0,8.55,5.0,4.75
7.0,9.0,7.0,5.0,5.0,9.0,5.0,5.0
7.0,9.45,7.0,5.25,5.0,9.45,5.0,5.25
7.0,9.9,7.0,5.5,5.0,9.9,5.0,5.5
7.0,10.35,7.0,5.75,5.0,10.35,5.0,5.75
7.0,10.8,7.0,6.0,5.0,10.8,5.0,6.0
7.0,11.25,7.0,6.25,5.0,11.25,5.0,6.25
